elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
103.1,75552.0,31864.0,43688.0,20125.3,16736.7,6155.9,5276.5,0.0,120103.3,0.0,10265.7,135396.0,557687.6,693083.6,467672.2,1031900.8,140228.7,42
104.1,75552.0,31864.0,43688.0,20125.3,16736.7,6155.9,5276.5,0.0,120103.3,0.0,10265.7,135396.0,557691.2,693087.2,467669.0,1031900.8,140228.7,42
105.1,75552.0,31864.0,43688.0,20123.3,16734.7,6153.9,5274.5,0.0,120103.3,0.0,10265.5,135395.9,557687.9,693083.9,467671.8,1031900.8,140226.7,42
106.1,75552.0,31864.0,43688.0,20119.3,16730.7,6149.9,5270.5,0.0,120103.3,0.0,10265.5,135395.9,557689.8,693085.7,467669.9,1031900.8,140222.7,42
107.1,75552.0,31864.0,43688.0,20121.3,16732.7,6151.9,5272.6,0.0,120103.3,0.0,10265.5,135396.2,557688.7,693084.9,467671.1,1031900.8,140224.7,42
108.1,75552.0,31864.0,43688.0,20121.3,16732.7,6151.9,5272.6,0.0,120103.3,0.0,10266.0,135395.9,557692.3,693088.2,467667.4,1031900.8,140224.7,42
109.1,75552.0,31864.0,43688.0,20123.3,16734.7,6153.9,5274.6,0.0,120103.4,0.0,10265.9,135395.9,557699.2,693095.1,467660.5,1031900.8,140226.7,42
110.1,75552.0,31864.0,43688.0,20123.5,16734.8,6154.0,5274.7,0.0,120103.4,0.0,10265.6,135396.4,557698.9,693095.4,467660.8,1031900.8,140226.8,42
111.1,75552.0,31864.0,43688.0,20095.5,16706.8,6126.0,5246.7,0.0,120103.4,0.0,10266.0,135396.0,557697.5,693093.5,467662.2,1031900.8,140198.8,42
112.1,75552.0,31864.0,43688.0,20097.5,16708.8,6128.0,5248.7,0.0,120103.4,0.0,10265.6,135396.0,557697.3,693093.3,467662.4,1031900.8,140200.8,42
113.1,75552.0,31864.0,43688.0,20093.5,16704.8,6124.0,5244.7,0.0,120103.4,0.0,10266.0,135395.9,557689.6,693085.5,467670.1,1031900.8,140196.8,42
114.1,75552.0,31864.0,43688.0,20119.5,16730.8,6150.0,5270.7,0.0,120103.4,0.0,10265.6,135396.0,557690.3,693086.3,467669.4,1031900.8,140222.8,42
115.1,75552.0,31864.0,43688.0,20113.5,16724.8,6144.0,5264.7,0.0,120103.4,0.0,10265.6,135396.0,557690.4,693086.5,467669.3,1031900.8,140216.8,42
116.1,75552.0,31864.0,43688.0,20111.5,16722.8,6142.0,5262.7,0.0,120103.4,0.0,10266.0,135396.0,557693.0,693089.1,467666.7,1031900.8,140214.8,42
117.1,75552.0,31864.0,43688.0,20119.5,16730.8,6150.0,5270.7,0.0,120103.4,0.0,10265.6,135396.0,557698.5,693094.6,467661.2,1031900.8,140222.8,42
118.1,75552.0,31864.0,43688.0,20117.5,16728.8,6148.0,5268.7,0.0,120103.4,0.0,10265.8,135396.1,557703.4,693099.5,467656.3,1031900.8,140220.8,42
119.1,75552.0,31864.0,43688.0,20117.5,16728.8,6148.0,5268.7,0.0,120103.4,0.0,10265.5,135396.0,557683.1,693079.1,467676.6,1031900.8,140220.8,42
120.1,75552.0,31864.0,43688.0,20121.5,16732.8,6152.0,5272.7,0.0,120103.4,0.0,10266.1,135396.0,557684.0,693080.0,467675.7,1031900.8,140224.8,42
121.1,75552.0,31864.0,43688.0,20107.5,16718.8,6138.0,5258.7,0.0,120103.4,0.0,10265.6,135396.0,557688.3,693084.3,467671.4,1031900.8,140210.8,42
122.1,75552.0,31864.0,43688.0,20107.5,16718.8,6138.0,5258.7,0.0,120103.4,0.0,10265.6,135396.0,557688.2,693084.2,467671.5,1031900.8,140210.8,42
123.1,75552.0,31864.0,43688.0,20107.5,16718.8,6138.0,5258.7,0.0,120103.4,0.0,10265.6,135396.0,557696.8,693092.8,467662.9,1031900.8,140210.8,42
124.1,75552.0,31864.0,43688.0,20109.5,16720.8,6140.0,5260.7,0.0,120103.4,0.0,10265.6,135396.0,557700.9,693096.9,467658.8,1031900.8,140212.8,42
125.1,75552.0,31864.0,43688.0,20109.5,16720.8,6140.0,5260.7,0.0,120103.4,0.0,10265.6,135396.1,557682.7,693078.8,467677.1,1031900.8,140212.8,42
