elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
130.9,175688.0,3339.1,2614.3,0.0,41493.5,72854.6,78284.1,44007.3,82269.9,126585.4,44855.4,4
131.9,175688.0,3339.1,2614.3,0.0,41534.1,72854.6,78305.0,44060.4,82288.5,126659.5,44829.9,4
132.9,175688.0,3339.1,2614.3,0.0,41556.5,72854.6,78251.1,44090.6,82230.9,126634.0,44890.2,4
133.9,175688.0,3339.1,2614.3,0.0,41556.4,78264.9,78290.3,44100.0,82204.8,126619.0,44914.6,4
136.0,175688.0,3339.1,2614.3,0.0,41503.6,78264.9,78264.0,44074.0,82208.6,126601.0,44894.6,4
137.0,175688.0,3339.1,2614.3,0.0,41465.5,78264.9,78289.5,44034.6,82240.9,126596.4,44871.7,4
138.0,175688.0,3339.1,2614.3,0.0,41435.4,78264.9,78297.5,44021.8,82246.9,126591.3,44828.1,4
139.0,175688.0,3338.8,2614.3,0.0,41454.0,78264.9,78308.1,44042.4,82254.8,126622.7,44845.3,4
140.0,175688.0,3338.8,2614.3,0.0,41420.3,78264.9,78267.0,44024.4,82211.3,126564.5,44877.5,4
141.0,175688.0,3338.8,2614.3,0.0,41329.8,78264.9,78337.4,43945.2,82273.3,126550.3,44816.5,4
142.0,175688.0,3338.8,2614.3,0.0,41368.6,78264.9,78323.2,43994.4,82235.4,126563.7,44840.4,4
143.0,175688.0,3338.8,2614.3,0.0,41088.0,78264.9,78283.5,43717.4,82202.3,126255.0,44895.9,4
144.0,175688.0,3338.8,2614.3,0.0,41035.6,84581.8,78323.1,43670.0,82241.1,126248.4,44855.2,4
146.2,175688.0,3338.8,2614.3,0.0,40801.0,84581.8,78324.8,43447.6,82242.8,126031.8,44841.4,4
147.2,175688.0,3338.8,2614.3,0.0,40752.2,84581.8,78323.8,43407.2,82227.8,125978.9,44853.9,4
148.2,175688.0,3338.8,2614.3,0.0,40498.9,84581.8,78284.0,43163.1,82381.1,125890.2,44498.5,4
149.2,175688.0,3338.8,2614.3,0.0,40382.2,84581.8,78323.9,43045.0,82240.0,125632.3,44847.8,4
150.2,175688.0,3338.8,2614.3,0.0,40486.5,84581.8,78323.8,43161.9,82219.0,125730.2,44865.3,4
151.2,175688.0,3338.8,2614.3,0.0,40576.6,84581.8,78326.5,43264.3,82381.8,125997.6,44692.3,4
152.2,175688.0,3338.8,2614.3,0.0,40808.5,84581.8,78341.0,43510.3,82254.4,126118.3,44825.6,4
153.2,175688.0,3338.8,2614.3,0.0,40858.2,84581.8,78288.1,43581.2,82171.3,126108.6,44774.2,4
154.2,175688.0,3338.8,2614.3,0.0,40891.5,90399.5,78326.8,43613.1,82229.4,126200.4,44838.4,4
156.6,175688.0,3338.8,2614.3,0.0,40343.3,90399.5,78341.7,43069.9,82254.0,125685.6,44525.9,4
157.6,175688.0,3338.8,2614.3,0.0,40549.1,90399.5,78325.6,43291.4,82247.6,125904.6,44820.4,4
158.6,175688.0,3338.8,2614.3,0.0,40502.2,90399.5,78324.9,43254.1,82238.5,125860.6,44827.0,4
159.6,175688.0,3338.8,2614.3,0.0,40823.2,90399.5,78325.6,43595.8,82207.6,126174.1,44855.3,4
160.6,175688.0,3338.8,2614.3,0.0,41001.7,90399.5,78325.7,43790.9,82219.7,126384.0,44840.5,4
161.6,175688.0,3338.8,2614.3,0.0,41075.9,90399.5,78325.1,43883.4,82189.9,126449.9,44851.1,4
162.6,175688.0,3338.8,2614.3,0.0,41123.7,90399.5,78326.2,43947.3,82199.8,126526.6,44854.3,4
163.6,175688.0,3338.4,2614.3,0.0,41103.2,90399.5,78300.6,43947.0,82176.8,126505.2,44755.4,4
164.6,175688.0,3338.5,2614.4,0.0,41044.5,97024.8,78325.6,43881.8,82206.7,126471.6,44843.9,4
167.2,175688.0,3338.5,2614.4,0.0,41092.7,97024.8,78362.9,43950.2,82230.1,126567.0,44808.8,4
168.2,175688.0,3338.6,2614.5,0.0,40972.3,97024.8,78363.0,43834.6,82240.1,126463.5,44804.7,4
169.2,175688.0,3338.6,2614.5,0.0,41053.1,97024.8,78324.0,43931.4,82209.3,126531.8,44785.2,4
170.2,175688.0,3338.6,2614.5,0.0,40989.8,97024.8,78363.3,43873.6,82277.9,126543.0,44716.2,4
171.2,175688.0,3338.6,2614.5,0.0,41145.4,97024.8,78384.6,44035.8,82259.0,126687.8,44777.5,4
172.2,175688.0,3338.6,2614.5,0.0,41059.3,97024.8,78366.8,43962.1,82251.0,126607.7,44692.0,4
173.2,175688.0,3338.6,2614.5,0.0,41023.4,97024.8,78389.5,43920.8,82282.8,126599.4,44751.0,4
174.2,175688.0,3338.6,2614.5,0.0,41009.7,97024.8,78389.7,43919.2,82277.8,126595.3,44745.5,4
175.2,175688.0,3338.7,2614.5,0.0,41007.6,102324.9,78403.3,43927.0,82258.6,126585.6,44775.0,4
177.8,175688.0,3338.7,2614.5,0.0,40989.7,102324.9,78350.2,43932.8,82249.0,126587.8,44778.6,4
178.8,175688.0,3338.7,2614.5,0.0,40926.1,102324.9,78388.6,43880.0,82280.5,126568.3,44741.3,4
179.8,175688.0,3338.7,2614.5,0.0,40977.5,102324.9,78388.7,43940.8,82234.2,126585.3,44789.1,4
180.8,175688.0,3338.7,2614.6,0.0,40996.1,102324.9,78350.9,43972.6,82216.6,126601.3,44796.8,4
181.8,175688.0,3338.7,2614.6,0.0,40939.8,102324.9,78388.0,43919.2,82256.0,126589.7,44759.0,4
182.8,175688.0,3338.7,2614.6,0.0,40924.2,102324.9,78388.2,43911.3,82254.4,126582.4,44758.5,4
183.8,175688.0,3338.7,2614.6,0.0,40948.6,102324.9,78395.7,43937.9,82275.2,126630.7,44724.9,4
184.8,175688.0,3338.7,2614.6,0.0,40921.4,102324.9,78388.5,43912.9,82278.3,126609.2,44709.3,4
185.8,175688.0,3338.7,2614.6,0.0,40941.0,107091.5,78388.3,43939.9,82230.0,126589.5,44784.0,4
188.6,175688.0,3338.7,2614.6,0.0,40733.4,107091.5,78387.7,43736.3,82268.9,126426.6,44739.3,4
189.6,175688.0,3338.7,2614.6,0.0,39714.3,107091.5,78347.9,42702.7,82425.9,125551.1,43638.7,4
190.6,175688.0,3338.6,2614.6,0.0,40148.2,107091.5,78401.9,43160.6,82287.3,125871.9,43771.8,4
191.6,175688.0,3338.8,2614.8,0.0,39967.8,107091.5,78387.4,42970.5,82270.8,125666.2,44737.9,4
192.6,175688.0,3338.9,2614.9,0.0,40054.4,107091.5,78367.1,43086.5,82562.2,126074.9,43633.2,4
193.6,175688.0,3339.0,2614.9,0.0,39496.1,107091.5,78392.4,42499.1,82348.9,125275.5,44649.2,4
194.6,175688.0,3339.0,2614.9,0.0,39798.8,107091.5,78391.9,42815.1,82364.6,125608.2,44628.5,4
195.7,175688.0,3339.0,2614.9,0.0,40051.8,107091.5,78387.5,43087.7,82271.6,125788.9,44732.4,4
196.7,175688.0,3339.0,2614.9,0.0,40197.2,110348.8,78391.9,43233.2,82286.0,125949.4,44717.4,4
199.3,175688.0,3339.0,2614.9,0.0,40742.7,110348.8,78392.5,43812.6,82271.6,126516.9,44717.3,4
200.3,175688.0,3339.0,2614.9,0.0,40779.5,110348.8,78392.6,43845.2,82315.5,126594.6,44684.3,4
201.3,175688.0,3339.0,2614.9,0.0,40628.3,110348.8,78406.4,43692.9,82433.8,126560.6,44565.9,4
202.3,175688.0,3339.0,2614.9,0.0,40670.6,110348.8,78406.5,43735.8,82296.4,126466.3,44703.1,4
203.3,175688.0,3339.0,2614.9,0.0,40695.3,110348.8,78392.3,43762.1,82280.8,126477.1,44718.6,4
204.3,175688.0,3339.0,2614.9,0.0,40556.0,110348.8,78392.2,43629.4,82515.8,126579.4,44483.6,4
205.3,175688.0,3339.0,2614.9,0.0,40595.4,110348.8,78392.2,43660.3,82276.3,126371.0,44722.9,4
206.3,175688.0,3339.0,2614.9,0.0,40609.6,110348.8,78352.7,43674.5,82248.5,126357.4,44750.7,4
207.3,175688.0,3339.0,2614.9,0.0,40623.4,111243.0,78392.2,43697.3,82283.6,126415.4,44715.4,4
209.9,175688.0,3339.0,2614.9,0.0,40632.9,111243.0,78392.5,43708.0,82291.3,126433.9,44707.7,4
210.9,175688.0,3339.0,2614.9,0.0,40650.2,111243.0,78392.2,43726.2,82295.2,126456.0,44703.8,4
211.9,175688.0,3339.0,2614.9,0.0,40650.5,111243.0,78391.8,43725.9,82290.8,126451.3,44708.2,4
212.9,175688.0,3339.0,2614.9,0.0,40650.8,111243.0,78391.3,43726.3,82287.8,126448.7,44711.2,4
213.9,175688.0,3339.0,2614.9,0.0,40650.8,111243.0,78351.7,43726.3,82250.9,126411.9,44748.0,4
214.9,175688.0,3339.0,2614.9,0.0,40650.9,111243.0,78390.6,43726.5,82288.5,126449.6,44710.4,4
215.9,175688.0,3339.0,2614.9,0.0,40661.8,111243.0,78391.3,43737.1,82290.0,126461.7,44709.0,4
